ts2i_transformation_pretty_name,CATSv2,Daphnet,Exathlon,IOPS,LTDB,MGAB,MITDB,MSL,NAB,NEK,OPPORTUNITY,Power,SED,SMAP,SMD,SVDB,SWaT,Stock,TAO,TODS,UCR,WSD,YAHOO
RN,338.81,282.69,294.57,316.41,318.91,267.02,300.2,408.0,330.31,416.76,276.14,303.17,315.26,267.5,318.35,308.75,334.33,311.81,295.7,245.43,298.23,245.57,323.27
LP,174.59,158.56,159.33,148.61,163.78,139.54,148.83,193.38,168.44,208.12,155.99,146.99,165.71,153.55,183.87,161.21,172.87,164.36,167.65,138.09,164.14,140.33,167.68
SG,422.82,325.66,354.6,367.1,395.45,297.47,375.51,526.66,374.36,560.03,327.9,365.69,382.65,309.62,376.4,393.28,427.65,387.27,377.71,276.72,348.35,290.62,411.93
GASF,45.23,6.13,19.95,256.28,216.41,14.63,98.68,300.48,256.38,313.34,219.39,10.0,9.63,240.7,181.71,61.6,65.0,273.81,275.59,197.05,96.04,201.17,256.39
GADF,45.31,6.37,19.95,255.88,217.59,14.63,100.46,350.75,260.25,345.44,227.77,10.01,9.62,247.64,182.46,61.71,65.11,271.63,254.74,190.16,94.13,200.34,255.56
MTF,70.71,7.99,26.51,260.17,246.47,23.4,121.92,387.23,271.98,413.34,227.04,14.09,14.96,240.28,173.44,74.5,77.34,294.64,282.69,239.55,78.69,213.72,292.39
RP,352.06,297.36,327.79,306.72,351.42,273.78,317.24,443.56,341.75,429.13,279.17,307.28,320.54,285.51,340.89,345.75,381.76,350.87,339.74,242.24,308.16,247.89,335.24
RWT,250.14,231.26,242.69,229.63,252.69,197.2,234.09,241.68,251.37,305.8,210.5,237.22,251.16,220.94,261.87,253.54,242.3,253.63,254.14,196.06,241.42,178.17,247.55
MWT,249.78,227.71,233.87,228.85,247.22,195.67,233.77,313.28,258.19,337.87,204.37,233.89,211.79,215.04,255.34,242.79,249.06,249.53,254.17,191.81,234.64,185.78,258.16
SPIRAL,350.01,296.45,344.34,329.63,363.89,288.35,324.69,492.1,365.57,521.83,306.22,305.92,372.7,310.22,341.02,348.77,411.48,364.36,384.05,254.94,330.03,258.18,392.54
